County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
Wyoming,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,66,66,42,131,"(41.5189248803, -76.0181300338)"
Lebanon,1.073314538,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,38,38,42,075,"(40.3675970024, -76.4618257486)"
Armstrong,6.398342525,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,3,03,42,005,"(40.8150952555, -79.4731689893)"
Union,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,Not displayed when count is between 1 and 4.,60,60,42,119,"(40.9647313096, -77.0641580308)"
York,21.10708128,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,1 additional facility began reporting during Q2 2018.,67,67,42,133,"(39.9219253124, -76.7257605231)"
Somerset,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,Not displayed when count is between 1 and 4.,56,56,42,111,"(39.9714629901, -79.0310020611)"
Westmoreland,11.28671372,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,65,65,42,129,"(40.3103149985, -79.471341176)"
Westmoreland,9.443406205,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,65,65,42,129,"(40.3103149985, -79.471341176)"
Centre,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,14,14,42,027,"(40.9193135008, -77.8250011212)"
Wyoming,2.562037918,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,66,66,42,131,"(41.5189248803, -76.0181300338)"
Potter,,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,Not displayed when count is between 1 and 4.,53,53,42,105,"(41.7442064382, -77.8987922939)"
Snyder,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,No Emergency Department Identified in County.,55,55,42,109,"(40.7711373692, -77.0725596804)"
Butler,1.28268166,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,10,10,42,019,"(40.9108318483, -79.9171177889)"
York,18.16992514,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,67,67,42,133,"(39.9219253124, -76.7257605231)"
Lawrence,40.23089033,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,37,37,42,073,"(40.9932503514, -80.3375411446)"
Montgomery,0.121054384,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,46,46,42,091,"(40.209898739, -75.3725200072)"
Perry,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,No Emergency Department Identified in County.,50,50,42,099,"(40.4041531744, -77.2590738496)"
Tioga,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
Clinton,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Not displayed when count is between 1 and 4.,18,18,42,035,"(41.2328627374, -77.6428376046)"
Susquehanna,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,Not displayed when count is between 1 and 4.,58,58,42,115,"(41.8205685982, -75.8025030296)"
Monroe,8.655283657,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,45,45,42,089,"(41.0609178653, -75.3408360302)"
Fayette,13.58959425,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,26,26,42,051,"(39.919447803, -79.6518963464)"
Lycoming,6.437077567,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,41,41,42,081,"(41.3445979226, -77.069424568)"
Allegheny,1.667963972,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,2,02,42,003,"(40.4673554298, -79.9861984282)"
Cambria,16.91042735,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,11,11,42,021,"(40.4912749067, -78.7189417385)"
Crawford,1.160644854,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,20,20,42,039,"(41.6854690692, -80.1132108295)"
Berks,1.029067569,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,6,06,42,011,"(40.4193963513, -75.9307732705)"
Fayette,69.71197945,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,26,26,42,051,"(39.919447803, -79.6518963464)"
Snyder,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,No Emergency Department Identified in County.,55,55,42,109,"(40.7711373692, -77.0725596804)"
Susquehanna,1.463950226,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,58,58,42,115,"(41.8205685982, -75.8025030296)"
Cumberland,0.839778299,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,21,21,42,041,"(40.167598388, -77.268662705)"
Wyoming,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,Not displayed when count is between 1 and 4.,66,66,42,131,"(41.5189248803, -76.0181300338)"
Dauphin,84.9512317,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,22,22,42,043,"(40.4197463597, -76.7796056802)"
Warren,0,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
Columbia,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance. Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
Luzerne,0.630232903,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,40,40,42,079,"(41.1783643884, -75.991996098)"
Schuylkill,14.70776314,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,54,54,42,107,"(40.707512431, -76.223323851)"
Monroe,2.499315664,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,45,45,42,089,"(41.0609178653, -75.3408360302)"
Butler,4.197447952,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Philadelphia,26.8995086,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,51,51,42,101,"(40.0044435384, -75.140236002)"
Luzerne,27.54151478,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,40,40,42,079,"(41.1783643884, -75.991996098)"
Montgomery,4.140059922,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,46,46,42,091,"(40.209898739, -75.3725200072)"
Monroe,3.927496043,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,45,45,42,089,"(41.0609178653, -75.3408360302)"
Somerset,7.248224856,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,56,56,42,111,"(39.9714629901, -79.0310020611)"
Cambria,10.01590762,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,11,11,42,021,"(40.4912749067, -78.7189417385)"
Elk,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Union,42.25160147,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,60,60,42,119,"(40.9647313096, -77.0641580308)"
Greene,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Not displayed when count is between 1 and 4.,30,30,42,059,"(39.8548039342, -80.2294381655)"
Sullivan,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,No Emergency Department Identified in County.,57,57,42,113,"(41.4480993958, -76.5147922046)"
Berks,14.60626055,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,6,06,42,011,"(40.4193963513, -75.9307732705)"
Wyoming,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,66,66,42,131,"(41.5189248803, -76.0181300338)"
Northampton,6.728931715,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.,48,48,42,095,"(40.754595404, -75.3126372576)"
Pennsylvania,2.251369857,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
Elk,67.38868833,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Lackawanna,87.95132919,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,35,35,42,069,"(41.4391006428, -75.6121834524)"
Somerset,0.805358317,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,56,56,42,111,"(39.9714629901, -79.0310020611)"
Crawford,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,20,20,42,039,"(41.6854690692, -80.1132108295)"
Columbia,0.758357095,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,19,19,42,037,"(41.0491208559, -76.4100217975)"
Sullivan,,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,57,57,42,113,"(41.4480993958, -76.5147922046)"
Carbon,134.3911917,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,13,13,42,025,"(40.9193670081, -75.7110703866)"
Washington,1.205993304,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,63,63,42,125,"(40.1910966345, -80.2518008276)"
Cameron,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,No Emergency Department Identified in County.,12,12,42,023,"(41.4388026531, -78.2091693241)"
Adams,13.53179973,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,1,01,42,001,"(39.8720956503, -77.2222427076)"
Elk,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Lancaster,25.87358904,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.,36,36,42,071,"(40.0459079619, -76.2513876838)"
Monroe,5.11621108,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,1 additional facility began reporting during Q4 2017.,45,45,42,089,"(41.0609178653, -75.3408360302)"
Bradford,39.8681285,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,8,08,42,015,"(41.7911781401, -76.5182562384)"
Clinton,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.,18,18,42,035,"(41.2328627374, -77.6428376046)"
Wyoming,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,Not displayed when count is between 1 and 4.,66,66,42,131,"(41.5189248803, -76.0181300338)"
York,32.29363579,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,67,67,42,133,"(39.9219253124, -76.7257605231)"
Blair,10.85398155,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,7,07,42,013,"(40.4855502384, -78.349076871)"
Montgomery,2.965106625,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,46,46,42,091,"(40.209898739, -75.3725200072)"
Somerset,11.90003967,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,56,56,42,111,"(39.9714629901, -79.0310020611)"
Juniata,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,No Emergency Department Identified in County.,34,34,42,067,"(40.5343300836, -77.405775001)"
Blair,8.342985817,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,7,07,42,013,"(40.4855502384, -78.349076871)"
Mercer,9.145470134,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,43,43,42,085,"(41.302377765, -80.2600941079)"
Cumberland,80.53983457,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,21,21,42,041,"(40.167598388, -77.268662705)"
Warren,23.01827075,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,62,62,42,123,"(41.8167523652, -79.278581578)"
Chester,21.1999152,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,Less than 100% of Emergency Departments in the County are Under Surveillance.,15,15,42,029,"(39.9748705566, -75.7562649818)"
Pike,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,No Emergency Department Identified in County.,52,52,42,103,"(41.332571995, -75.0327092448)"
Lancaster,1.32620376,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,36,36,42,071,"(40.0459079619, -76.2513876838)"
Huntingdon,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,31,31,42,061,"(40.4161050032, -77.9827661036)"
Indiana,1.177121467,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
Erie,9.980294382,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,25,25,42,049,"(41.9941378702, -80.0407591036)"
Bedford,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Not displayed when count is between 1 and 4.,5,05,42,009,"(40.0073753643, -78.4911647381)"
Lycoming,3.766883711,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,41,41,42,081,"(41.3445979226, -77.069424568)"
Bucks,1.480088041,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,9,09,42,017,"(40.335011331, -75.1129124111)"
Northampton,58.22071182,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,Less than 100% of Emergency Departments in the County are Under Surveillance.,48,48,42,095,"(40.754595404, -75.3126372576)"
Bucks,1.161789538,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
Franklin,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Not displayed when count is between 1 and 4.,28,28,42,055,"(39.9278619704, -77.7239884483)"
Pennsylvania,8.735283807,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,0,00,42,000,"(39.346129, -75.167756)"
Bedford,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,Not displayed when count is between 1 and 4.,5,05,42,009,"(40.0073753643, -78.4911647381)"
Montour,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Not displayed when count is between 1 and 4.,47,47,42,093,"(41.0280182438, -76.6647052668)"
Lancaster,6.391565344,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,36,36,42,071,"(40.0459079619, -76.2513876838)"
Adams,55.98407564,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,1,01,42,001,"(39.8720956503, -77.2222427076)"
Blair,4.703890117,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,7,07,42,013,"(40.4855502384, -78.349076871)"
Butler,41.59445407,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Philadelphia,2.707381981,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,51,51,42,101,"(40.0044435384, -75.140236002)"
Juniata,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,34,34,42,067,"(40.5343300836, -77.405775001)"
Chester,17.2036284,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance. 2 additional facilities began reporting in Q3 2018.,15,15,42,029,"(39.9748705566, -75.7562649818)"
Schuylkill,0.490990327,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,54,54,42,107,"(40.707512431, -76.223323851)"
Lawrence,0.574257198,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,37,37,42,073,"(40.9932503514, -80.3375411446)"
Union,62.01935004,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,60,60,42,119,"(40.9647313096, -77.0641580308)"
Wayne,5.468215995,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,64,64,42,127,"(41.6496980525, -75.3051535022)"
Carbon,33.0604534,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,13,13,42,025,"(40.9193670081, -75.7110703866)"
Butler,0.694785899,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Washington,23.01222028,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,63,63,42,125,"(40.1910966345, -80.2518008276)"
McKean,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,42,42,42,083,"(41.810370736, -78.5712201998)"
Fulton,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,29,29,42,057,"(39.9248751086, -78.1148504535)"
Cumberland,12.20894741,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,21,21,42,041,"(40.167598388, -77.268662705)"
Wyoming,3.294048752,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,66,66,42,131,"(41.5189248803, -76.0181300338)"
Lancaster,2.118242117,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,36,36,42,071,"(40.0459079619, -76.2513876838)"
Dauphin,16.60705161,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,22,22,42,043,"(40.4197463597, -76.7796056802)"
Bucks,7.680049152,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,9,09,42,017,"(40.335011331, -75.1129124111)"
Forest,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,No Emergency Department Identified in County.,27,27,42,053,"(41.5135787577, -79.2378099483)"
Fulton,107.3619632,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,29,29,42,057,"(39.9248751086, -78.1148504535)"
Mifflin,38.00967519,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,44,44,42,087,"(40.6127492804, -77.6200308901)"
Union,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,60,60,42,119,"(40.9647313096, -77.0641580308)"
Lawrence,2.871285992,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,37,37,42,073,"(40.9932503514, -80.3375411446)"
Columbia,5.156828247,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,19,19,42,037,"(41.0491208559, -76.4100217975)"
Montour,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,Not displayed when count is between 1 and 4.,47,47,42,093,"(41.0280182438, -76.6647052668)"
Clarion,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,Not displayed when count is between 1 and 4.,16,16,42,031,"(41.1927912877, -79.4248360769)"
Sullivan,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,No Emergency Department Identified in County.,57,57,42,113,"(41.4480993958, -76.5147922046)"
Clearfield,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,Not displayed when count is between 1 and 4.,17,17,42,033,"(41.0004290024, -78.4755834299)"
Columbia,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance. Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
Cameron,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,No Emergency Department Identified in County.,12,12,42,023,"(41.4388026531, -78.2091693241)"
Chester,14.27687622,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,15,15,42,029,"(39.9748705566, -75.7562649818)"
Venango,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,Not displayed when count is between 1 and 4.,61,61,42,121,"(41.4034125863, -79.7628656104)"
Perry,1.95113491,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,50,50,42,099,"(40.4041531744, -77.2590738496)"
Venango,59.54153022,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,61,61,42,121,"(41.4034125863, -79.7628656104)"
Cambria,25.31403735,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,11,11,42,021,"(40.4912749067, -78.7189417385)"
