Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Pennsylvania Capitol Police-Capitol East Wing,17101,Dauphin,22,22,22,42,(717) 787-9013,"Monday-Friday, 7am-6pm","Commonwealth & North Sts.
Harrisburg, Pennsylvania
(40.2663, -76.8828)"
State Police-Troop K / Skippack,19473,Montgomery,46,46,46,42,NA,NA,"2047C Bridge Rd.
Schwenksville, Pennsylvania
(40.2316, -75.4035)"
Easton Police Dept.,18042,Northampton,48,48,48,42,(610) 250-6630,Contact location for hours,"25 S. 3rd Street
Easton, Pennsylvania
(40.6902, -75.2093)"
Trainer Borough Police,19061,Delaware,23,23,23,42,NA,NA,"824 Main St.
Marcus Hook, Pennsylvania
(39.8297, -75.4079)"
Bedford Borough Police Dept.,15522,Bedford,5,5,5,42,(814) 623-8193,"Monday-Friday, 9am-1pm","244 West Penn Street
Bedford, Pennsylvania
(40.0176, -78.5068)"
West Whiteland Twp. Police Dept.,19341,Chester,15,15,15,42,(610) 363-0200,"Monday-Friday, 8:30am-4:30pm","101 Commerce Drive
Exton, Pennsylvania
(40.0315, -75.6237)"
Springfield Township Police Department,19064,Delaware,23,23,23,42,(610) 544-1100,"Monday-Friday, 8:30am-4:30pm","50 Powell Road
Springfield, Pennsylvania
(39.9316, -75.3283)"
Marcus Hook Borough Police Department,19060,Delaware,23,23,23,42,NA,NA,"1013 Green Street
Marcus Hook, Pennsylvania
(39.8195, -75.4187)"
State Police-Troop E / Meadville,16335,Crawford,20,20,20,42,NA,NA,"11025 Murray Rd.
Meadville, Pennsylvania
(41.618, -80.2082)"
City of Bradford Police Dept.,16701,McKean,42,42,42,42,(814) 368-6133,Contact location for hours,"18 Kennedy Street
Bradford, Pennsylvania
(41.9565, -78.6474)"
Liberty Township Police Dept,17320,Adams,1,1,1,42,(717) 642-6103,"Monday-Thursday, 8am-4pm","39 Topper Road,
Fairfield, Pennsylvania
(39.7338, -77.3597)"
Mt. Holly Springs Police Dept.,17065,Cumberland,21,21,21,42,(717) 486-7615,"Monday-Friday, 8am-4pm ","200 Harman Street
Mt. Holly Springs, Pennsylvania
(40.116, -77.1918)"
Beaver Borough Police Dept.,15009,Beaver,4,4,4,42,(724) 773-6700,Contact location for hours,"469 Third Street
Beaver, Pennsylvania
(40.6958, -80.3026)"
East Lampeter Twp. Police Dept.,17602,Lancaster,36,36,36,42,(717) 291-4676,"Monday-Friday, 8am-4pm","2250 Old Philadelphia Pike
Lancaster, Pennsylvania
(40.0381, -76.2206)"
Robert Packer Hospital (Clinic Pharmacy),18840,Bradford,8,8,8,42,NA,NA,"One Guthrie Square
Sayre, Pennsylvania
(41.9797, -76.5209)"
Upper Merion Township Police Department,19406,Montgomery,46,46,46,42,(610) 265-3232,"7 days a week, 24 hours a day","175 W. Valley Forge Rd
King of Prussia, Pennsylvania
(40.1031, -75.3924)"
Old Lycoming Township Police Dept.,17701,Lycoming,41,41,41,42,(570) 323-4987,"Monday-Friday, 8am-4:30pm ","1951 Green Avenue, Ste. 2
Williamsport, Pennsylvania
(41.2575, -77.045)"
Springettsbury Township Police Department,17402,York,67,67,67,42,(717) 757-3525,"Monday-Friday, 8am-5pm","1501 Mount Zion Road
York, Pennsylvania
(39.9911, -76.6699)"
Aldan Police,19018,Delaware,23,23,23,42,NA,NA,"1 W. Providence Rd.,
Aldan,, Pennsylvania
(39.9223, -75.2876)"
Lehigh Township Police Dept.,18088,Northampton,48,48,48,42,(610) 760-8800,Contact location for hours,"1043 Municipal Road
Walnutport, Pennsylvania
(40.7748, -75.5513)"
State Police-Troop A / Greensburg,15601,Westmoreland,65,65,65,42,NA,NA,"100 N Westmoreland Ave.
Greensburg, Pennsylvania
(40.3066, -79.53)"
Coal Twp. Police Dept.,17866,Northumberland,49,49,49,42,(570) 644-0333,"Monday-Friday, 8am-4pm","805 West Lynn Street
Coal Township, Pennsylvania
(40.7882, -76.5654)"
Boyertown Bourough Hall,19512,Berks,6,6,6,42,NA,NA,"100 S. Washington St
Boyertown, Pennsylvania
(40.3306, -75.6365)"
Valley Township Police Department,19320,Chester,15,15,15,42,(610) 384-8133,"Monday-Friday, 8am-4:30pm","890 West Lincoln Highway
Coatesville, Pennsylvania
(39.984, -75.8456)"
Ephrata Police Dept.,17522,Lancaster,36,36,36,42,(717) 738-9265,"Monday-Friday, 8am-4:30pm","124 South State Street
Ephrata, Pennsylvania
(40.1225, -76.2136)"
State Police-Troop C / Clearfield,16881,Clearfield,17,17,17,42,NA,NA,"147 Doe Hill Rd.
Woodland, Pennsylvania
(41.0096, -78.3457)"
Brockway Police Department,15824,Jefferson,33,33,33,42,(814) 265-2055,Contact location for hours,"501 Main Street
Brockway, Pennsylvania
(41.2487, -78.7987)"
Northampton Borough Police Dept.,18067,Northampton,48,48,48,42,(610) 261-0404,Contact location for hours,"1401 Laubach Avenue
Northampton, Pennsylvania
(40.6836, -75.4904)"
West Reading Police Department ,19611,Berks,6,6,6,42,(610) 373-0111 ,"Monday-Friday, 8am-8pm; closed holidays","500 Chestnut Street
West Reading, Pennsylvania
(40.3332, -75.9482)"
Mercyhurst University Main Police,16546,Erie,25,25,25,42,(814) 824-2304,Contact location for hours,"501 E 38th St
Erie, Pennsylvania
(42.1039, -80.0524)"
Radnor Township Police Department,19097,Delaware,23,23,23,42,(610) 688-0503,"Monday-Friday, 8am-4pm","301 Iven Avenue
Wayne, Pennsylvania
(40.0363, -75.3729)"
Hummelstown Borough Police Dept.,17036,Dauphin,22,22,22,42,(717) 566-2555,"Monday-Friday, 8am-4:30pm","136 S. Hanover Street
Hummelstown, Pennsylvania
(40.2626, -76.7079)"
Greencastle Police Dept.,17225,Franklin,28,28,28,42,(717) 597-2161,"Monday-Friday, 7:30am-4pm","60 N. Washington Street
Greencastle, Pennsylvania
(39.7905, -77.7255)"
Hilltop Pharmacy,15210,Allegheny,2,2,2,42,(412) 431-5766,Contact location for hours,"818 E. Warrington Avenue
Pittsburgh, Pennsylvania
(40.4217, -79.9929)"
Ohio Township Police Dept.,15143,Allegheny,2,2,2,42,(412) 259-8304,Contact location for hours,"126 Lenzner Court
Sewickley, Pennsylvania
(40.5553, -80.1078)"
State Police-Troop R / Gibson,18834,Susquehanna,58,58,58,42,NA,NA,"2856 SR 848
New Milford, Pennsylvania
(41.8304, -75.6881)"
Cranberry Township Police Dept.,16066,Butler,10,10,10,42,(724) 776-5180,"Monday-Friday, 8am-10pm; Saturday, 9am-3pm","2525 Rochester Road
Cranberry Township, Pennsylvania
(40.698, -80.1081)"
Philadelphia Police Dept.-15th Police District,19149,Philadelphia,51,51,51,42,(215) 686-3150,Contact location for hours,"2831 Levick Street
Philadelphia, Pennsylvania
(40.0321, -75.0641)"
State Police-Troop J / Lancaster,17602,Lancaster,36,36,36,42,NA,NA,"2099 Lincoln Hwy
Lancaster, Pennsylvania
(40.0308, -76.2343)"
Newton Township Police Department,19073,Delaware,23,23,23,42,NA,NA,"209 Bishop Hollow Rd
Newtown Square, Pennsylvania
(39.9807, -75.4078)"
New Sewickley Township Police Dept.,15074,Beaver,4,4,4,42,(724) 774-2473,Contact location for hours,"233 Miller Road
Rochester, Pennsylvania
(40.7264, -80.1906)"
Walter's Pharmacy,18104,Lehigh,39,39,39,42,(610) 435-4706,"Monday-Friday, 9am-9pm; Saturday and 9am-5pm","401 N 17th Street
Allentown, Pennsylvania
(40.6027, -75.4948)"
East Brandywine Twp. Police Dept.,19335,Chester,15,15,15,42,(610) 269-4300,"Monday-Friday, 9am-5pm  ","1212 Horseshoe Pike
Downingtown, Pennsylvania
(40.0346, -75.7666)"
State Police-Troop L / Jonestown,17038,Lebanon,38,38,38,42,NA,NA,"3185 SR 72
Jonestown, Pennsylvania
(40.4609, -76.5134)"
PeterÆs Twp Police Dept,15317,Washington,63,63,63,42,(724) 942-5030,"Monday-Friday, 8am-4pm","200 Municipal Drive
McMurray, Pennsylvania
(40.2799, -80.0818)"
Luzerne County District Attorney's Office,18711,Luzerne,40,40,40,42,(570) 825-1674,"Monday-Friday, 9am-4:30pm","200 North River Street
Wilkes-Barre, Pennsylvania
(41.2514, -75.8782)"
Chester Township Police Department,19013,Delaware,23,23,23,42,NA,NA,"1840 Harris Street
Chester, Pennsylvania
(39.8446, -75.3929)"
Borough of Sewickley Police Dept.,15143,Allegheny,2,2,2,42,(412) 473-3056,Contact location for hours,"601 Thorn Street
Sewickley, Pennsylvania
(40.5382, -80.1799)"
New Hope Borough Police,18938,Bucks,9,9,9,42,(215) 862-3033,Contact location for hours,"125 New Street
New Hope, Pennsylvania
(40.3596, -74.9507)"
State Police-Troop D / Butler,16001,Butler,10,10,10,42,NA,NA,"200 Barracks Rd.
Butler, Pennsylvania
(40.8667, -79.9155)"
Moon Twp. Police Dept.,15108,Allegheny,2,2,2,42,(412) 262-5000,"7 days a week, 24 hours a day","1000 Beaver Grade Rd
Moon, Pennsylvania
(40.5046, -80.2082)"
Hamburg Police Department,19526,Berks,6,6,6,42,(610) 562-7228,Contact location for hours,"61 N. Third St.
Hamburg, Pennsylvania
(40.5564, -75.9841)"
Monroe County Sheriff-Monroe County Court House Lobby,18360,Monroe,45,45,45,42,NA,NA,"610 Monroe Street
Stroudsburg, Pennsylvania
(40.9869, -75.1948)"
Conneaut Lake Regional Police Dept.,16316,Crawford,20,20,20,42,(814) 382-4364,"7 days a week, 24 hours a day","9878 State Highway 285
Conneaut Lake, Pennsylvania
(41.6035, -80.3131)"
Philadelphia Police Dept.-26th Police District,19125,Philadelphia,51,51,51,42,(215) 686-3260,Contact location for hours,"Girard & Montgomery Aves.
Philadelphia, Pennsylvania
(39.9713, -75.1271)"
Horsham Police Department,19044,Montgomery,46,46,46,42,NA,"7 days a week, 24 hours a day","1025 Horsham Road
Horsham, Pennsylvania
(40.2073, -75.1787)"
Shippensburg Borough Police Dept.,17257,Cumberland,21,21,21,42,(717) 532-7361,"Monday-Friday, 8am-4pm","60 West Burd Street
Shippensburg, Pennsylvania
(40.0515, -77.523)"
Parkesburg Borough Police Dept.,19365,Chester,15,15,15,42,(610) 857-3535,"Monday-Friday, 8am-4pm  ","315 West First Ave., Build. II
Parkesburg, Pennsylvania
(39.9594, -75.9168)"
Indiana Borough Police Dept.,15701,Indiana,32,32,32,42,(724) 349-2121,"Monday-Friday, 8am-4pm","80 N. Eighth Street
Indiana, Pennsylvania
(40.6241, -79.1551)"
Morton Borough Police,19070,Delaware,23,23,23,42,NA,NA,"500 Highland Ave
Morton, Pennsylvania
(39.9113, -75.3221)"
Chippewa Township Police Dept.,15010,Beaver,4,4,4,42,(724) 843-8240,Contact location for hours,"2811 Darlington Road
Beaver Falls, Pennsylvania
(40.7792, -80.3937)"
East Bethlehem Police Dept.,15333,Washington,63,63,63,42,(724) 377-1851,Contact location for hours,"36 Water Street
Fredericktown, Pennsylvania
(39.9997, -79.9967)"
Hughesville Borough Police Dept.,17737,Lycoming,41,41,41,42,(570) 584-2111,"Monday-Thursday, 8am-4pm","147 South Fifth Street
Hughesville, Pennsylvania
(41.2355, -76.7219)"
Shillington Police Department,19607,Berks,6,6,6,42,(610) 777-3947 ,"Monday-Friday, 8am-4:30pm","999 East Broad Street
Shillington, Pennsylvania
(40.2988, -75.9642)"
Erie County Courthouse Lobby,16501,Erie,25,25,25,42,(814) 451-6000,"Monday-Friday, 8:30am-4:30pm ","140 W 6th St
Erie, Pennsylvania
(42.1293, -80.0881)"
West Newton Police Dept.,15089,Westmoreland,65,65,65,42,(724) 872-8610,Contact location for hours,"112 South Water Street
West Newton, Pennsylvania
(40.2097, -79.7682)"
Sweden Twp. Police Dept.,16915,Potter,53,53,53,42,(814) 274-0654,Contact location for hours,"129 Cherry Springs Road
Coudersport, Pennsylvania
(41.7544, -77.9499)"
Montour County Court House,17821,Montour,47,47,47,42,(570) 271-3020,"Monday-Friday, 8am-4pm","29 Mill Street
Danville, Pennsylvania
(40.9597, -76.6192)"
The Medicine Shoppe,16125,Mercer,43,43,43,42,(724) 588-3875,Contact location for hours,"419 S. Main Street
Greenville, Pennsylvania
(41.4101, -80.3711)"
Lower Providence Police Department ,19403,Montgomery,46,46,46,42,(610) 539-5901,"Monday-Friday, 7am-8pm","100 Parklane Dr.
Eagleville, Pennsylvania
(40.1641, -75.4077)"
West Manchester Towship Police Dept.,17408,York,67,67,67,42,(717) 792-6514,"Monday-Friday, 8am-4:30pm, or by appointment","380 East Berlin Road
York, Pennsylvania
(39.9516, -76.7844)"
Ralpho Township Police Dept. ,17824,Northumberland,49,49,49,42,(570) 672-9892,Contact location for hours,"206 South Market St., Suite 4
Elysburg, Pennsylvania
(40.8549, -76.5432)"
Borough of Grove City Police Dept.,16127,Mercer,43,43,43,42,(724) 458-7925,"Monday-Friday, 10am-2pm","337 East Pine Street
Grove City, Pennsylvania
(41.1587, -80.0794)"
State Police-Troop C / Ridgway,15853,Elk,24,24,24,42,NA,NA,"48 Servidea Dr.
Ridgway, Pennsylvania
(41.4038, -78.7026)"
Folcroft Borough Police,19032,Delaware,23,23,23,42,NA,NA,"1555 E. Elmwood Ave.
Folcroft, Pennsylvania
(39.8996, -75.2791)"
State Police-Troop F / Lamar,17751,Clinton,18,18,18,42,NA,NA,"113 Boyd Rd.
Mill Hall, Pennsylvania
(41.387, -80.127)"
Whitemarsh Township Police Dept.,19444,Montgomery,46,46,46,42,(610) 825-6530,Contact location for hours,"616 Germantown Pike
Lafayette Hill, Pennsylvania
(40.0862, -75.2531)"
State Police-Troop R / Blooming Grove,18428,Pike,52,52,52,42,NA,NA,"434 Rt 402
Hawley, Pennsylvania
(41.3825, -75.1309)"
Upper Providence Township Police Department,19063,Delaware,23,23,23,42,NA,NA,"935 N. Providence Road
Media, Pennsylvania
(39.9306, -75.387)"
City of New Kensington Police Dept.,15068,Westmoreland,65,65,65,42,(724) 337-4523,"7 days a week, 24 hours a day","301 Eleventh Street
New Kensington, Pennsylvania
(40.5684, -79.768)"
Adams Township Police Dept.,16046,Butler,10,10,10,42,(724) 625-2040,Contact location for hours,"690 Valencia Road
Mars, Pennsylvania
(40.7134, -79.9907)"
Youngsville Borough Police Department,16371,Warren,62,62,62,42,(814) 563-7555,"Monday-Friday, 8am-4pm, or by appointment","40 Railroad St
Youngsville, Pennsylvania
(41.8504, -79.3173)"
Cornwall Borough Police Department,17016,Lebanon,38,38,38,42,(717) 274-2071,"Monday-Friday, 9am-3pm","36 Burd Coleman Rd
Cornwall, Pennsylvania
(40.2755, -76.4132)"
State Police-Troop H / Gettysburg,17325,Adams,1,1,1,42,NA,NA,"3033 Old Harrisburg Rd.
Gettysburg, Pennsylvania
(39.8961, -77.187)"
Borough of Phoenixville Police Dept.,19460,Chester,15,15,15,42,(610) 933-1180,"Monday-Friday, 8am-4:30pm","351 Bridge Street
Phoenixville, Pennsylvania
(40.1336, -75.5198)"
Northern Lancaster Co. Regional Police Dept.,17578,Lancaster,36,36,36,42,(717) 733-0965,"Monday-Friday, 8am-4:30pm","860 Durlach Road
Stevens, Pennsylvania
(40.2371, -76.2296)"
Freeport Police Dept.,16229,Armstrong,3,3,3,42,(724) 295-4897,Contact location for hours,"414 Market Street
Freeport, Pennsylvania
(40.6724, -79.6856)"
Greene County Sheriff's Department,15370,Greene,30,30,30,42,(724) 852-5218,Contact location for hours,"10 E High St Ste 106
Waynesburg, Pennsylvania
(39.8964, -80.1867)"
State Police-Troop A / Ebensburg,15931,Cambria,11,11,11,42,NA,NA,"100 Casale Court
Ebensburg, Pennsylvania
(40.4607, -78.7557)"
State Police-Troop F / Selinsgrove,17870,Snyder,55,55,55,42,NA,NA,"204 Universal Rd.
Selinsgrove, Pennsylvania
(40.8089, -76.9131)"
Pennridge Regional Police,18960,Bucks,9,9,9,42,(215) 257-5104,"Monday-Friday, 8am-4pm","200 Ridge Road
Sellersville, Pennsylvania
(40.3496, -75.3066)"
State Police-Troop M / Bethlehem,18017,Lehigh,39,39,39,42,NA,NA,"2930 Airport Rd.
Bethlehem, Pennsylvania
(40.6478, -75.4292)"
New Hanover Twp. Police Dept.,19525,Montgomery,46,46,46,42,(610) 327-1150,"7 days a week, 24 hours a day","2943 N. Charlotte Street
Gilbertsville, Pennsylvania
(40.3019, -75.5837)"
Logan Township Police Dept.,16602,Blair,7,7,7,42,(814) 949-3364,Contact location for hours,"100 Chief Logan Circle
Altoona, Pennsylvania
(40.5906, -78.3383)"
Edinboro University Campus Police ,16444,Erie,25,25,25,42,(814) 732-2921,"7 days a week, 24 hours a day","911 Scotland Road
Edinboro, Pennsylvania
(41.8746, -80.1186)"
Abington Township Police Department ,19001,Montgomery,46,46,46,42,(267) 536-1100,"Monday-Friday, 7am-8pm; Saturday, 8am-4pm","1168 Old York Road
Abington, Pennsylvania
(40.1168, -75.1206)"
Upper Allen Township Police Dept.,17055,Cumberland,21,21,21,42,(717) 795-2445,"Monday-Friday, 8am-4:30pm","100 Gettysburg Pike
Mechanicsburg, Pennsylvania
(40.1851, -76.9863)"
Lower Frederick Township Police Dept.,19492,Montgomery,46,46,46,42,(610) 287-4434,Contact location for hours,"53 Spring Mount Road
Zieglerville, Pennsylvania
(40.2784, -75.4723)"
Bucks County Justice Center,18901,Bucks,9,9,9,42,(215) 348-6000,Contact location for hours,"100 North Main Street
Doylestown, Pennsylvania
(40.3123, -75.1309)"
Berwick Police Dept.,18603,Columbia,19,19,19,42,(570) 752-3677,"Monday, Tuesday, Thursday, Friday, 8am-5pm; Wednesday, 8am-12:30pm","1800 North Market Street
Berwick, Pennsylvania
(41.0674, -76.2455)"
Connellsville Police Dept.,15425,Fayette,26,26,26,42,(724) 628-2501,Contact location for hours,"110 North Arch Street
Connellsville, Pennsylvania
(40.0186, -79.5916)"
Saxton Borough Police Dept.,16678,Bedford,5,5,5,42,(814) 635-3523,"Monday & Tuesday, 8am-4pm; Wednesday-Friday, 9am-5pm","707 9th Street
Saxton, Pennsylvania
(40.2156, -78.2465)"
State Police-Troop F / Stonington,17801,Northumberland,49,49,49,42,NA,NA,"2465 SR 61
Sunbury, Pennsylvania
(40.774, -75.2696)"
Easttown Police Department,19333,Chester,15,15,15,42,(610) 341-9780,Contact location for hours,"566 Beaumont Rd
Devon, Pennsylvania
(40.0216, -75.4265)"
Pen Argyl Police Department,18072,Northampton,48,48,48,42,(610) 759-8517,"Monday-Friday, 8am-4pm","11 North Robinson Avenue
Pen Argyl, Pennsylvania
(40.8689, -75.2556)"
Carroll Township Police Department,17019,York,67,67,67,42,(717) 432-3317,"Monday-Friday, 8:30am-4:30pm","555 Chestnut Grove Road
Dillsburg, Pennsylvania
(40.1097, -76.9862)"
Bridgeport Borough Police Dept.,19405,Montgomery,46,46,46,42,(610) 272-5660,"Monday-Friday, 8am-4pm","4th & Mill Streets
Bridgeport, Pennsylvania
(40.1051, -75.3452)"
Avonmore Borough Police Dept.,15618,Westmoreland,65,65,65,42,(724) 697-4747,"Monday-Friday, 8am-4pm","619 Allegheny Avenue
Avonmore, Pennsylvania
(40.5288, -79.4621)"
Colonial Regional Police Department,18014,Northampton,48,48,48,42,(610) 861-4820,"Monday-Friday, 8am-4pm","215 East Main Street
Bath, Pennsylvania
(40.7252, -75.3905)"
Washington County Office of the Sheriff,15301,Washington,63,63,63,42,(724) 228-6840,Contact location for hours,"100 West Beau Street, Suite 303
Washington, Pennsylvania
(40.1702, -80.2472)"
Lower Gwynedd Township Police Dept.,19477,Montgomery,46,46,46,42,(215) 646-5303,Contact location for hours,"1130 North Bethlehem Pike
Spring House, Pennsylvania
(40.1901, -75.2248)"
Selinsgrove Police Dept.,17870,Snyder,55,55,55,42,(570) 374-8655,"Monday-Friday, 8am-12pm and 1pm-4pm","100 W. Pine Street
Selinsgrove, Pennsylvania
(40.7998, -76.8634)"
State Police-Troop H / York,17403,York,67,67,67,42,NA,NA,"110 Trooper Ct.
York, Pennsylvania
(39.8632, -76.7016)"
Milton Police Dept.,17847,Northumberland,49,49,49,42,(570) 742-8757,"Monday-Friday, 8am-3pm","1 Filbert Street
Milton, Pennsylvania
(41.0203, -76.8522)"
State Police-Troop C / Clarion,16214,Clarion,16,16,16,42,NA,NA,"209 Commerce Rd.
Clarion, Pennsylvania
(41.1828, -79.396)"
Reading Police Department,19601,Berks,6,6,6,42,(610) 655-6116,"7 days a week, 24 hours a day","815 Washington Street
Reading, Pennsylvania
(40.3369, -75.9212)"
Centerville Borough Police Dept. ,15417,Washington,63,63,63,42,(724) 785-9210,"Monday-Friday, 8am-3pm","100 East End Road
Brownsville, Pennsylvania
(40.0289, -79.9176)"
Strasburg Borough Police Dept.,17579,Lancaster,36,36,36,42,(717) 687-7732,"Monday-Friday, 7:30am-4pm","145 Precision Avenue
Strasburg, Pennsylvania
(39.9853, -76.1916)"
City of Latrobe Police Dept.,15650,Westmoreland,65,65,65,42,(724) 537-5526,"Monday-Friday, 8am-4pm","901 Jefferson Street
Latrobe, Pennsylvania
(40.3151, -79.3857)"
Walgreens Pharmacy (Norristown Location),19403,Montgomery,46,46,46,42,(484) 636û5003 ,Contact location for hours,"2803 W Main St
Norristown, Pennsylvania
(40.1479, -75.395)"
Mt. Pleasant Police Dept.,15666,Westmoreland,65,65,65,42,(724) 547-7210,"7 days a week, 24 hours a day","Box 119, Etze Avenue
Mt. Pleasant, Pennsylvania
(40.149, -79.5411)"
City of Hermitage Police Dept.,16148,Mercer,43,43,43,42,(724) 981-6780,"Monday-Friday, 10am-2pm","800 North Hermitage Road
Hermitage, Pennsylvania
(41.2442, -80.4489)"
Jim Thorpe Police Dept.,18229,Carbon,13,13,13,42,(570) 325-4995,"Monday-Friday, 8:30am-4pm","101 East Tenth Street
Jim Thorpe, Pennsylvania
(40.8774, -75.7251)"
Borough of Bellevue Police Dept.,15202,Allegheny,2,2,2,42,(412) 766-7400,Contact location for hours,"537 Bayne Avenue
Pittsburgh, Pennsylvania
(40.4968, -80.0563)"
Falls Township Police Department,19030,Bucks,9,9,9,42,NA,NA,"188 Lincoln Hwy
Fairless Hills, Pennsylvania
(40.1809, -74.8701)"
Philadelphia Police Dept.-5th Police District,19128,Philadelphia,51,51,51,42,(215) 686-3050,Contact location for hours,"Ridge & Cinnaminson Sts.
Philadelphia, Pennsylvania
(40.0402, -75.2244)"
Ross Township Police Dept.,15237,Allegheny,2,2,2,42,(412) 931-9070,Contact location for hours,"1000 Ross Municipal Drive
Pittsburgh, Pennsylvania
(40.5159, -80.0066)"
Juniata County Courthouse Annex Lobby,17059,Juniata,34,34,34,42,NA,"Monday-Friday, 8am-4:30pm","30 N. Main St.
Mifflintown, Pennsylvania
(40.5708, -77.3975)"
Pottstown Police Department,19464,Montgomery,46,46,46,42,(610) 970-6572,Contact location for hours,"100 East High Street
Pottstown, Pennsylvania
(40.2456, -75.6523)"
Westfield Police Department,16950,Tioga,59,59,59,42,(814) 367-2769,"Monday-Friday, 8am-4pm","429 East Main Street
Westfield, Pennsylvania
(41.921, -77.534)"
Middletown Township Police,19047,Bucks,9,9,9,42,(215) 750-3845,"Monday-Friday, 8:30am-4:30pm","3 Municipal Way
Langhorne, Pennsylvania
(40.1828, -74.9067)"
State Police-Troop D / Beaver,15009,Beaver,4,4,4,42,NA,NA,"1400 Brighton Rd.
Beaver, Pennsylvania
(40.7114, -80.3666)"
Dublin Borough Police ,18917,Bucks,9,9,9,42,(215) 249-0272,"Monday-Friday, 10am-2pm","119 Maple Avenue
Dublin, Pennsylvania
(40.3702, -75.204)"
State Police-Troop B / Uniontown,15456,Fayette,26,26,26,42,NA,NA,"1070 Eberly Way
Lemont Furnace, Pennsylvania
(39.9376, -79.6653)"
Carlisle Borough Police Dept.,17013,Cumberland,21,21,21,42,(717) 243-5252,"Monday-Friday, 7am-11pm","240 Lincoln Street
Carlisle, Pennsylvania
(40.2065, -77.1944)"
Wyomissing Borough Police Department,19610,Berks,6,6,6,42,(610) 375-6102,"7 days a week, 24 hours a day","22 Reading Blvd
Wyomissing, Pennsylvania
(40.3342, -75.9593)"
Lower Allen Township Police Dept.,17011,Cumberland,21,21,21,42,(717) 975-7575,"Monday-Friday, 8amû4pm ","2233 Gettysburg Road
Camp Hill, Pennsylvania
(40.2298, -76.9185)"
Cumberland Twp. Police Dept.,17325,Adams,1,1,1,42,(717) 334-3996,"Monday-Thursday, 8am-4pm","1370 Fairfield Road
Gettysburg, Pennsylvania
(39.8235, -77.2618)"
State Police-Troop H / Harrisburg,17112,Dauphin,22,22,22,42,NA,NA,"8000 Bretz Dr.
Harrisburg, Pennsylvania
(40.3364, -76.7111)"
Southwest Regional Police Dept.,15012,Washington,63,63,63,42,(724) 929-8484,"Monday-Friday, 8am-4pm","212 State Street
Belle Vernon, Pennsylvania
(40.1286, -79.8701)"
Blairsville Borough Police Dept.,15717,Indiana,32,32,32,42,(724) 459-7555,"7 days a week, 24 hours a day","201 E. Market Street
Blairsville, Pennsylvania
(40.431, -79.2605)"
West Vincent Township Police Dept.,19425,Chester,15,15,15,42,(610) 458-3205,"Monday-Friday, 8:30am-4:30pm","729 St. Matthews Road
Chester Springs, Pennsylvania
(40.1069, -75.6681)"
Telford Borough Police Dept.,18969,Montgomery,46,46,46,42,(215) 723-6700,"Monday-Friday, 8am-4pm","100 Penn Avenue
Telford, Pennsylvania
(40.3249, -75.3288)"
Tinicum Township Police Department,19029,Delaware,23,23,23,42,(610) 521-3830,"Monday-Friday, 8am-4pm","235 Putcan Ave.
Essington, Pennsylvania
(39.8628, -75.2934)"
Upper Nazareth Township Police Dept.,18064,Northampton,48,48,48,42,(610) 759-7448,Contact location for hours,"100 Newport Avenue
Nazareth, Pennsylvania
(40.7521, -75.2977)"
Penn Township Police Dept.,15642,Westmoreland,65,65,65,42,(724) 863-1119,"Monday-Friday, 8am-4pm","2000 Commercial Drive
Irwin, Pennsylvania
(40.3589, -79.6796)"
Hyde Drug Store,16102,Lawrence,37,37,37,42,(724) 652-1451,"Monday-Friday, 8am-6pm; Saturday, 9am-4pm; Sunday, 9am-1pm","112 N. Liberty St
New Castle, Pennsylvania
(40.9734, -80.3745)"
Broad and Lehigh Pharmacy at Liberty Square,19132,Philadelphia,51,51,51,42,(215) 228-9007,"Monday-Friday, 9am-5pm; Saturday, 9am-12pm","1300 West Lehigh Avenue (Suite 102)
Philadelphia, Pennsylvania
(39.9931, -75.1528)"
Penn Township Police Department,17331,York,67,67,67,42,(717) 637-8751,"Monday-Friday, 8am-4:30pm","20 Wayne Avenue
Hanover, Pennsylvania
(39.7942, -76.9687)"
Lehigh University Police Dept.,18015,Northampton,48,48,48,42,(610) 758-4200,Contact location for hours,"321 East Packer Avenue
Bethlehem, Pennsylvania
(40.6087, -75.3737)"
Orwigsburg Borough Police Dept.,17961,Schuylkill,54,54,54,42,(570) 366-3102,"7 days a week, 24 hours a day","209 N. Warran Street
Orwigsburg, Pennsylvania
(40.6561, -76.1004)"
Upper Burrell Township Police Dept.,15068,Westmoreland,65,65,65,42,(724) 335-0664,"Monday-Friday, 8am-5pm, or by appointment","3735 Seventh Street
New Kensington, Pennsylvania
(40.5692, -79.7309)"
Newtown Township Police,19073,Delaware,23,23,23,42,NA,NA,"209 Bishop Hollow Rd
Newtown Square, Pennsylvania
(39.9807, -75.4078)"
Catasauqua Police Dept. ,18032,Lehigh,39,39,39,42,(610) 264-0577,"Monday-Friday, 8am-4pm","118 Bridge Street
Catasauqua, Pennsylvania
(40.6538, -75.4744)"
California Borough Police Dept.,15419,Washington,63,63,63,42,(724) 938-3233,"Monday-Friday, 8:30am-4:30pm","225 Third Street
California, Pennsylvania
(40.0666, -79.8922)"
Whitehall Twp. Police Dept.,18052,Lehigh,39,39,39,42,(610) 437-3042,"Monday-Friday, 7am-3pm by appointment","3731 Lehigh Street
Whitehall, Pennsylvania
(40.6551, -75.4986)"
